query_id,dataset,selected_model,quality,realized_cost,input_tokens,output_tokens,latency_ms
gsm8k/249,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00045727,106,1757,18810.0
gsm8k/250,ecologic_stage12,openai/gpt-oss-20b,1.0,9.16e-05,152,420,5320.0
gsm8k/268,ecologic_stage12,openai/gpt-oss-20b,1.0,4.330000000000001e-05,142,181,2020.0
gsm8k/27,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00049399,97,1910,22950.0
gsm8k/290,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00052018,104,2010,23500.0
gsm8k/299,ecologic_stage12,openai/gpt-oss-20b,1.0,0.00011724999999999999,177,542,7740.0
gsm8k/301,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00165876,128,6548,75070.0
gsm8k/303,ecologic_stage12,openai/gpt-oss-20b,1.0,0.00011615,171,538,6340.0
gsm8k/313,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.0013477600000000001,103,5321,60940.0
gsm8k/314,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00032648000000000003,94,1242,13620.0
gsm8k/33,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00032106999999999996,71,1236,14800.0
gsm8k/350,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00028281000000000004,118,1051,13630.0
gsm8k/353,ecologic_stage12,openai/gpt-oss-20b,0.0,0.00040770000000000004,166,1997,20140.0
gsm8k/365,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.0041077299999999995,69,16384,201250.0
gsm8k/420,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00035349000000000003,97,1348,13610.0
gsm8k/426,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.0006026100000000001,108,2337,23860.0
gsm8k/453,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00041181,93,1584,18580.0
gsm8k/454,ecologic_stage12,openai/gpt-oss-20b,0.0,3.96e-05,120,168,1800.0
gsm8k/468,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00032616,98,1238,13100.0
gsm8k/474,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00025693,79,974,10360.0
gsm8k/481,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00054654,112,2110,24410.0
gsm8k/488,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00026319,82,997,11890.0
gsm8k/491,ecologic_stage12,openai/gpt-oss-20b,1.0,5.555e-05,135,244,3310.0
gsm8k/50,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00410909,77,16384,192410.0
gsm8k/519,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00025149,72,957,9510.0
gsm8k/552,ecologic_stage12,Qwen/Qwen3.5-9B,0.0,0.00411453,109,16384,171650.0
gsm8k/553,ecologic_stage12,openai/gpt-oss-20b,1.0,4.35e-05,166,176,2360.0
gsm8k/562,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00187807,121,7430,92360.0
gsm8k/578,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00052147,91,2024,22390.0
gsm8k/581,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00025588,89,963,11800.0
gsm8k/583,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00120059,102,4733,59020.0
gsm8k/60,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00042276,78,1638,16480.0
gsm8k/61,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00411334,102,16384,260970.00000000003
gsm8k/610,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00411079,87,16384,212650.0
gsm8k/612,ecologic_stage12,openai/gpt-oss-20b,1.0,6.19e-05,174,266,3050.0
gsm8k/643,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00031574,97,1197,13330.0
gsm8k/645,ecologic_stage12,openai/gpt-oss-20b,1.0,0.0001116,132,525,5780.0
gsm8k/682,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.0003198,115,1201,14550.0
gsm8k/700,ecologic_stage12,openai/gpt-oss-20b,1.0,9.94e-05,172,454,6020.0
gsm8k/726,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00032321,113,1216,14580.0
gsm8k/735,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00039133,99,1498,18710.0
gsm8k/771,ecologic_stage12,openai/gpt-oss-20b,1.0,5.3750000000000005e-05,151,231,2970.0
gsm8k/796,ecologic_stage12,openai/gpt-oss-20b,1.0,0.00015295,151,727,9020.0
gsm8k/801,ecologic_stage12,openai/gpt-oss-20b,1.0,7.355e-05,155,329,4040.0
gsm8k/81,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00023583000000000002,99,876,12820.0
gsm8k/812,ecologic_stage12,openai/gpt-oss-20b,1.0,0.0001148,212,521,6140.0
gsm8k/813,ecologic_stage12,openai/gpt-oss-20b,1.0,7.16e-05,180,313,3630.0
gsm8k/823,ecologic_stage12,openai/gpt-oss-20b,0.0,7.225000000000001e-05,193,313,3790.0
gsm8k/827,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.000543,125,2087,23300.0
gsm8k/829,ecologic_stage12,openai/gpt-oss-20b,1.0,0.000102,168,468,5470.0
gsm8k/863,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00027251,78,1037,13540.0
gsm8k/878,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00021588,89,803,10350.0
gsm8k/885,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00022698,94,844,9760.0
gsm8k/891,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00049583,99,1916,24250.0
gsm8k/919,ecologic_stage12,openai/gpt-oss-20b,1.0,7.655e-05,175,339,4350.0
gsm8k/94,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00036572,91,1401,20590.0
gsm8k/971,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00026388000000000003,89,995,11850.0
gsm8k/985,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00017791,73,662,7980.0
gsm8k/999,ecologic_stage12,openai/gpt-oss-20b,1.0,7.785e-05,141,354,4710.0
HumanEval/0,ecologic_stage12,openai/gpt-oss-20b,1.0,0.00011820000000000001,216,537,6300.0
HumanEval/1,ecologic_stage12,openai/gpt-oss-20b,1.0,0.00012450000000000002,206,571,6620.0
HumanEval/10,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.0002773,190,980,14220.0
HumanEval/100,ecologic_stage12,openai/gpt-oss-20b,1.0,0.00013475,223,618,9900.0
HumanEval/101,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00016411,158,549,6700.0
HumanEval/102,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00148371,138,5841,81410.0
HumanEval/103,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00077131,193,2954,29030.0
HumanEval/104,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.0009487800000000001,159,3687,48080.0
HumanEval/105,ecologic_stage12,openai/gpt-oss-20b,1.0,0.00016295000000000003,367,723,8840.0
HumanEval/106,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00152473,169,5984,57860.0
HumanEval/107,ecologic_stage12,Qwen/Qwen3.5-9B,0.0,0.00414071,263,16384,182110.0
HumanEval/108,ecologic_stage12,Qwen/Qwen3.5-9B,0.0,0.00027423,169,982,10880.0
HumanEval/109,ecologic_stage12,Qwen/Qwen3.5-9B,0.0,0.0041544799999999995,344,16384,161120.0
HumanEval/11,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00018641000000000003,123,662,6990.0
HumanEval/110,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00245956,243,9673,108580.0
HumanEval/111,ecologic_stage12,Qwen/Qwen3.5-9B,0.0,0.00412932,196,16384,211470.0
HumanEval/112,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.0012756,205,4963,56070.0
HumanEval/113,ecologic_stage12,openai/gpt-oss-20b,1.0,0.00023099999999999998,264,1089,13170.0
HumanEval/114,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00130484,127,5133,67800.0
HumanEval/115,ecologic_stage12,openai/gpt-oss-20b,1.0,0.00012890000000000002,414,541,5330.0
HumanEval/116,ecologic_stage12,Qwen/Qwen3.5-9B,0.0,0.00413238,214,16384,166580.0
HumanEval/117,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00140784,227,5477,81700.0
HumanEval/118,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00031831000000000003,193,1142,12500.0
HumanEval/119,ecologic_stage12,openai/gpt-oss-20b,1.0,0.0001044,256,458,4940.0
HumanEval/12,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.0001364,145,447,5090.0
HumanEval/120,ecologic_stage12,Qwen/Qwen3.5-9B,0.0,0.00128999,272,4975,48390.0
HumanEval/121,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00088522,141,3445,50580.0
HumanEval/122,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00104368,179,4053,39880.0
HumanEval/123,ecologic_stage12,openai/gpt-oss-20b,1.0,0.00017760000000000003,324,807,8470.0
HumanEval/124,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00042277000000000005,331,1466,21170.0
HumanEval/125,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00017427,181,574,6420.0
HumanEval/126,ecologic_stage12,Qwen/Qwen3.5-9B,0.0,0.00414496,288,16384,230300.0
HumanEval/127,ecologic_stage12,openai/gpt-oss-20b,0.0,0.00014420000000000004,344,635,6980.0
HumanEval/128,ecologic_stage12,openai/gpt-oss-20b,1.0,0.00016544999999999998,213,774,9790.0
HumanEval/129,ecologic_stage12,openai/gpt-oss-20b,1.0,0.00027155,487,1236,16379.999999999998
HumanEval/13,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00014487000000000001,111,504,5000.0
HumanEval/130,ecologic_stage12,Qwen/Qwen3.5-9B,0.0,0.00414377,281,16384,200680.0
HumanEval/131,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00104238,114,4092,54510.0
HumanEval/132,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.0010876599999999998,173,4233,46930.0
HumanEval/133,ecologic_stage12,openai/gpt-oss-20b,1.0,0.000112,248,498,6330.0
HumanEval/134,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.0006887600000000001,178,2634,26010.0
HumanEval/135,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00096114,142,3748,49640.0
HumanEval/136,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00161769,182,6347,70390.0
HumanEval/137,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00018628,184,620,7350.0
HumanEval/138,ecologic_stage12,openai/gpt-oss-20b,1.0,0.0001292,168,604,8640.0
HumanEval/139,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00025088,139,909,11010.0
HumanEval/14,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00013316,98,466,4900.0
HumanEval/140,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00135466,148,5318,69460.0
HumanEval/141,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00156128,259,6069,77360.0
HumanEval/142,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00174745,210,6847,77360.0
HumanEval/143,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.0013478300000000002,199,5256,66950.0
HumanEval/144,ecologic_stage12,openai/gpt-oss-20b,1.0,8.77e-05,246,377,4490.0
HumanEval/145,ecologic_stage12,Qwen/Qwen3.5-9B,0.0,0.00412405,165,16384,185370.0
HumanEval/146,ecologic_stage12,openai/gpt-oss-20b,1.0,0.0001565,210,730,7900.0
HumanEval/147,ecologic_stage12,openai/gpt-oss-20b,1.0,0.000183,256,851,11610.0
HumanEval/148,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00019201,253,596,8330.0
HumanEval/149,ecologic_stage12,openai/gpt-oss-20b,1.0,0.0001229,278,545,6260.0
HumanEval/15,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00044945,110,1723,15190.0
HumanEval/150,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00083793,129,3264,36650.0
HumanEval/151,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00155293,179,6090,91400.0
HumanEval/152,ecologic_stage12,openai/gpt-oss-20b,1.0,5.365e-05,321,188,1630.0
HumanEval/153,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.0016614,320,6428,68470.0
HumanEval/154,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00028047,166,1009,12700.0
HumanEval/155,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00072653,109,2832,29120.0
HumanEval/156,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00022934000000000002,152,814,9470.0
HumanEval/157,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00077475,150,2997,44940.0
HumanEval/158,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00021995,160,771,11780.0
HumanEval/159,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00148856,343,5721,61650.0
HumanEval/16,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,9.703e-05,109,314,4190.0
HumanEval/160,ecologic_stage12,Qwen/Qwen3.5-9B,0.0,0.00413918,254,16384,190300.0
HumanEval/161,ecologic_stage12,gpt-4o,1.0,0.000835,138,49,570.0
HumanEval/162,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00013609,127,458,6200.0
HumanEval/163,ecologic_stage12,Qwen/Qwen3.5-9B,0.0,0.0041213299999999994,149,16384,182890.0
HumanEval/17,ecologic_stage12,openai/gpt-oss-20b,1.0,0.00010025000000000001,261,436,4890.0
HumanEval/18,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00019343,129,686,6820.0
HumanEval/19,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00019156999999999998,146,667,7210.0
HumanEval/2,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.0001015,125,321,3690.0
HumanEval/20,ecologic_stage12,openai/gpt-oss-20b,1.0,0.00012475,259,559,6190.0
HumanEval/21,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00024105,165,852,10270.0
HumanEval/22,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00017886,133,625,7190.0
HumanEval/23,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,5.986e-05,83,183,5180.0
HumanEval/24,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00020897,91,774,8800.0
HumanEval/25,ecologic_stage12,openai/gpt-oss-20b,1.0,0.00010025,217,447,5310.0
HumanEval/26,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00018175,125,642,5590.0
HumanEval/27,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,7.879e-05,87,256,3690.0
HumanEval/28,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,6.157999999999999e-05,99,179,2580.0
HumanEval/29,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,9.718e-05,129,301,3940.0
HumanEval/3,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00014778,159,483,4450.0
HumanEval/30,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.0007774500000000001,160,3001,30120.0
HumanEval/31,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00019567,151,680,6370.0
HumanEval/32,ecologic_stage12,Qwen/Qwen3.5-9B,0.0,0.00040502,306,1412,15120.0
HumanEval/33,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00025839,192,903,8960.0
HumanEval/34,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00018997,116,681,6930.0
HumanEval/35,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,9.609e-05,127,298,2890.0
HumanEval/36,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.0005125,125,1965,20670.0
HumanEval/37,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00023755,165,838,9390.0
HumanEval/38,ecologic_stage12,openai/gpt-oss-20b,0.0,8.810000000000001e-05,250,378,4470.0
HumanEval/39,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00026456,143,961,10630.0
HumanEval/4,ecologic_stage12,openai/gpt-oss-20b,1.0,7.065e-05,209,301,3810.0
HumanEval/40,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00023517999999999998,204,802,7710.0
HumanEval/41,ecologic_stage12,openai/gpt-oss-20b,1.0,0.0002036,240,958,11450.0
HumanEval/42,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00033635,155,1240,12830.0
HumanEval/43,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00025109000000000004,202,867,8490.0
HumanEval/44,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00024155999999999998,143,869,9710.0
HumanEval/45,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,8.42e-05,85,279,3220.0
HumanEval/46,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00033105,215,1178,11840.0
HumanEval/47,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00027282,121,1009,10230.0
HumanEval/48,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,9.088e-05,114,286,3390.0
HumanEval/49,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00016028,159,533,4990.0
HumanEval/5,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00011578,134,372,3730.0
HumanEval/50,ecologic_stage12,Qwen/Qwen3.5-9B,0.0,0.00011570000000000001,135,371,4780.0
HumanEval/51,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00017508,174,582,5890.0
HumanEval/52,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00010033000000000001,124,317,3130.0
HumanEval/53,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,9.831e-05,93,330,3360.0
HumanEval/54,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00026895,185,950,10820.0
HumanEval/55,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00019482,96,714,7410.0
HumanEval/56,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.0001757,135,611,6160.0
HumanEval/57,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00018144,132,636,6740.0
HumanEval/58,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00019755,165,678,7220.0
HumanEval/59,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00021528,109,787,8390.0
HumanEval/6,ecologic_stage12,openai/gpt-oss-20b,1.0,7.925e-05,201,346,3940.0
HumanEval/60,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00016549,147,562,5160.0
HumanEval/61,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00014228,134,478,5090.0
HumanEval/62,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00022526,153,797,8800.0
HumanEval/63,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00024781,193,860,8540.0
HumanEval/64,ecologic_stage12,gpt-4o,1.0,0.00202,156,163,1030.0
HumanEval/65,ecologic_stage12,Qwen/Qwen3.5-9B,0.0,0.00411793,129,16384,221030.0
HumanEval/66,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00096395,160,3747,37800.0
HumanEval/67,ecologic_stage12,Qwen/Qwen3.5-9B,0.0,0.00414122,266,16384,199250.0
HumanEval/68,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00128516,373,4887,45670.0
HumanEval/69,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00019777,206,651,6440.0
HumanEval/7,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,9.603000000000001e-05,134,293,3200.0
HumanEval/70,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00101023,169,3926,36470.0
HumanEval/71,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00123621,163,4834,48670.0
HumanEval/72,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.0005305,275,1935,22080.0
HumanEval/73,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00087674,197,3373,34790.0
HumanEval/74,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00026995999999999997,238,918,9130.0
HumanEval/75,ecologic_stage12,Qwen/Qwen3.5-9B,0.0,0.00411674,122,16384,175630.0
HumanEval/76,ecologic_stage12,Qwen/Qwen3.5-9B,0.0,0.00412677,181,16384,224040.0
HumanEval/77,ecologic_stage12,Qwen/Qwen3.5-9B,0.0,0.00412218,154,16384,202220.0
HumanEval/78,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.0008324599999999999,363,3083,29880.0
HumanEval/79,ecologic_stage12,openai/gpt-oss-20b,1.0,7.950000000000001e-05,230,340,4560.0
HumanEval/8,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00012677,156,401,5230.0
HumanEval/80,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00075037,161,2892,33670.0
HumanEval/81,ecologic_stage12,openai/gpt-oss-20b,1.0,0.00023045000000000002,361,1062,13990.0
HumanEval/82,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00180956,118,7158,75830.0
HumanEval/83,ecologic_stage12,Qwen/Qwen3.5-9B,0.0,0.00411011,83,16384,181540.0
HumanEval/84,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00058797,191,2222,22470.0
HumanEval/85,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00104706,93,4125,43210.0
HumanEval/86,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.001292,175,5049,53780.0
HumanEval/87,ecologic_stage12,openai/gpt-oss-20b,1.0,0.00010970000000000001,350,461,6130.0
HumanEval/88,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.0010576700000000001,251,4060,39070.0
HumanEval/89,ecologic_stage12,Qwen/Qwen3.5-9B,0.0,0.00412201,153,16384,171010.0
HumanEval/9,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00015580000000000002,140,528,5290.0
HumanEval/90,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.0013388,165,5243,59010.0
HumanEval/91,ecologic_stage12,Qwen/Qwen3.5-9B,0.0,0.0041215,150,16384,192120.0
HumanEval/92,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00021017,176,721,7600.0
HumanEval/93,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00030659000000000003,152,1123,13000.0
HumanEval/94,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00037664,367,1257,14250.0
HumanEval/95,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00030723,219,1080,12160.0
HumanEval/96,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00156025,200,6105,62280.0
HumanEval/97,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00120944,157,4731,57950.0
HumanEval/98,ecologic_stage12,Qwen/Qwen3.5-9B,1.0,0.00047454,112,1822,19400.0
