SIMULATED,policy,policy_type,factor,factor_value,arrivals_process,n_completed,throughput_per_s,queue_delay_mean_s,end_to_end_mean_s,p50_latency_s,p95_latency_s,p99_latency_s,cold_start_count,cold_start_rate,requests_per_instance_mean,cost_per_request,total_realized_inference_cost,sla_violation_rate
True,oracle,oracle,arrivals.rate_per_s,0.8,poisson,64,0.40146001209362747,32.35776032767247,38.551510327672474,47.67034405084717,67.21558633622615,71.6554589535649,7,0.109375,9.142857142857142,0.00014296421875,0.00914971,0.640625
True,always_cheap,always_cheap,arrivals.on_off.mean_off_s,2.0,on_off,64,0.20816241395975735,57.78757498902074,67.34694998902074,38.02276726837063,205.8801330108882,212.3434087233886,2,0.03125,32.0,0.00016659765625,0.01066225,0.65625
True,always_strong,always_strong,arrivals.on_off.mean_off_s,2.0,on_off,64,0.6358920352056366,0.18615080407987114,1.474588304079871,1.1500000000000057,3.924480401463672,4.1200000000000045,4,0.0625,16.0,0.0016001953125,0.1024125,0.0
True,ecologic,ecologic,arrivals.on_off.mean_off_s,2.0,on_off,64,0.0430893084992344,472.74701424724736,519.9281079972474,298.06064815739273,1326.9302511851681,1340.8471023487689,6,0.09375,10.666666666666666,0.00099109328125,0.06342997,0.796875
True,cost_matched_static,cost_matched_static,arrivals.on_off.mean_off_s,2.0,on_off,64,0.2401265324939859,18.919824946331648,27.452793696331643,11.904480401463672,138.15564866779783,139.8463715952936,10,0.15625,6.4,0.000612078125,0.039173,0.171875
True,oracle,oracle,arrivals.on_off.mean_off_s,2.0,on_off,64,0.4240875420606336,23.883074402077334,28.935105652077336,32.42402263439057,49.360133010888134,52.52708166839808,5,0.078125,12.8,0.00011416328125,0.00730645,0.546875
True,always_cheap,always_cheap,serverless.cold_start_delay_s,0.5,poisson,64,0.21826150489330898,23.348226749830282,31.063070499830282,28.633549501174542,52.33753177313726,74.74013843727037,2,0.03125,32.0,0.00013559375,0.008678,0.46875
True,always_strong,always_strong,serverless.cold_start_delay_s,0.5,poisson,64,0.38881658138711817,0.0508794042838725,1.232754404283873,0.980000000000004,2.8499999999999943,2.8599999999999994,11,0.171875,5.818181818181818,0.00168234375,0.10767,0.0
True,ecologic,ecologic,serverless.cold_start_delay_s,0.5,poisson,64,0.049477024550928436,379.5082863524885,420.8200051024885,368.616662409283,1095.59087159121,1107.2692044750975,10,0.15625,6.4,0.000865536875,0.05539436,0.765625
True,cost_matched_static,cost_matched_static,serverless.cold_start_delay_s,0.5,poisson,64,0.23264236545461192,0.9421031856627762,5.998509435662775,3.049999999999997,11.653144594430188,14.267079996302044,18,0.28125,3.5555555555555554,0.00064416171875,0.04122635,0.015625
True,oracle,oracle,serverless.cold_start_delay_s,0.5,poisson,64,0.3050280963811059,8.229285445003832,14.157410445003832,10.23,35.014177701095306,37.17804329212312,8,0.125,8.0,0.00014296421875,0.00914971,0.125
