tier,query_id,completion_tokens,latency_s
1,mmlu/philosophy/143,3122,45.97
1,mmlu/philosophy/202,2343,29.14
1,mmlu/philosophy/224,562,8.09
1,mmlu/philosophy/245,2435,27.98
1,mmlu/philosophy/249,4508,52.98
1,mmlu/philosophy/254,880,10.9
1,mmlu/philosophy/256,1060,12.13
1,mmlu/philosophy/269,4737,56.12
1,mmlu/philosophy/305,680,10.86
1,mmlu/philosophy/82,16384,194.63
1,mmlu/prehistory/10,4131,57.61
1,mmlu/prehistory/13,1318,18.77
1,mmlu/prehistory/194,1249,18.01
1,mmlu/prehistory/195,3378,38.13
1,mmlu/prehistory/196,16384,181.17
1,mmlu/prehistory/203,1828,22.56
1,mmlu/prehistory/284,422,7.24
1,mmlu/prehistory/298,1331,16.16
1,mmlu/prehistory/40,16384,181.95
1,mmlu/prehistory/46,2299,25.86
1,mmlu/world_religions/104,2563,34.98
1,mmlu/world_religions/118,1456,15.89
1,mmlu/world_religions/145,1142,14.92
1,mmlu/world_religions/146,3866,47.58
1,mmlu/world_religions/162,16384,196.97
1,mmlu/world_religions/165,664,6.95
1,mmlu/world_religions/169,553,7.63
1,mmlu/world_religions/48,635,7.83
1,mmlu/world_religions/74,16384,193.39
1,mmlu/world_religions/79,16384,179.73
2,gsm8k/100,1971,22.16
2,gsm8k/1000,406,5.77
2,gsm8k/1026,353,4.91
2,gsm8k/1034,224,5.23
2,gsm8k/1041,163,1.95
2,gsm8k/1054,299,3.79
2,gsm8k/106,411,4.86
2,gsm8k/1062,350,4.51
2,gsm8k/1074,412,6.52
2,gsm8k/1080,270,3.57
2,gsm8k/1108,154,1.97
2,gsm8k/1110,493,6.66
2,gsm8k/1115,334,5.01
2,gsm8k/1117,210,2.81
2,gsm8k/1156,321,5.13
2,gsm8k/1165,648,7.44
2,gsm8k/1168,497,6.17
2,gsm8k/1170,504,7.09
2,gsm8k/1174,1250,17.06
2,gsm8k/1183,5624,73.05
2,gsm8k/1227,1236,15.64
2,gsm8k/1240,467,6.62
2,gsm8k/1251,2687,33.08
2,gsm8k/1260,225,3.08
2,gsm8k/1269,369,4.66
2,gsm8k/1277,195,2.46
2,gsm8k/1279,206,2.7
2,gsm8k/129,465,4.97
2,gsm8k/1305,228,3.93
2,gsm8k/134,161,2.04
2,gsm8k/185,145,1.74
2,gsm8k/186,633,7.38
2,gsm8k/188,245,3.1
2,gsm8k/190,217,2.58
2,gsm8k/196,167,2.09
2,gsm8k/20,630,9.49
2,gsm8k/205,1061,11.41
2,gsm8k/220,208,2.43
2,gsm8k/225,389,4.22
2,gsm8k/227,427,4.85
2,gsm8k/234,925,11.26
2,gsm8k/249,362,4.73
2,gsm8k/250,420,5.32
2,gsm8k/268,181,2.02
2,gsm8k/27,277,3.48
2,gsm8k/290,482,6.21
2,gsm8k/299,542,7.74
2,gsm8k/301,953,10.39
2,gsm8k/303,538,6.34
2,gsm8k/313,1438,19.77
2,gsm8k/314,395,5.17
2,gsm8k/33,294,4.72
2,gsm8k/350,330,3.94
2,gsm8k/353,1997,20.14
2,gsm8k/365,255,2.78
2,gsm8k/420,231,3.15
2,gsm8k/426,280,2.73
2,gsm8k/453,300,3.29
2,gsm8k/454,168,1.8
2,gsm8k/468,453,5.72
2,gsm8k/474,191,2.39
