latency_s,cdf
2.26,0.9148351648351648
2.27,0.9175824175824175
2.27,0.9203296703296703
2.27,0.9230769230769231
2.27,0.9258241758241759
2.28,0.9285714285714286
2.29,0.9313186813186813
2.33,0.9340659340659341
2.35,0.9368131868131868
2.36,0.9395604395604396
2.38,0.9423076923076923
2.39,0.945054945054945
2.41,0.9478021978021978
2.42,0.9505494505494505
2.42,0.9532967032967034
2.45,0.9560439560439561
2.48,0.9587912087912088
2.49,0.9615384615384616
2.55,0.9642857142857143
2.56,0.967032967032967
2.62,0.9697802197802198
2.67,0.9725274725274725
2.67,0.9752747252747253
2.68,0.978021978021978
2.7,0.9807692307692307
2.7,0.9835164835164835
2.7,0.9862637362637363
2.72,0.989010989010989
2.85,0.9917582417582418
3.0,0.9945054945054945
3.08,0.9972527472527473
3.34,1.0
